Khushkumar Jajoo,,,,,,,
ECE 202 Project 2 Phase 3,,,,,,,
"Finding the time of flight, range and the maximum height of the hit ball",,,,,,,
,,,,,,,
Time t (s),x (ft),y (ft),y(t)/y(t+dt),,,Maximum Height (ft),= MAX(C:C)
0.2016451,27.33972,16.42691,"=IF(C83="""","""",C82/C83)",,,,
0.2042983,27.68787,16.62724,"=IF(C84="""","""",C83/C84)",,,,
0.2069516,28.03573,16.82718,"=IF(C85="""","""",C84/C85)",,,,
0.2096048,28.38331,17.02672,"=IF(C86="""","""",C85/C86)",,,,
0.212258,28.7306,17.22586,"=IF(C87="""","""",C86/C87)",,,,
0.2149112,29.07761,17.42461,"=IF(C88="""","""",C87/C88)",,,,
0.2175645,29.42434,17.62296,"=IF(C89="""","""",C88/C89)",,,,
0.2202177,29.77078,17.82092,"=IF(C90="""","""",C89/C90)",,,,
0.2228709,30.11694,18.01849,"=IF(C91="""","""",C90/C91)",,,,
0.2255241,30.46282,18.21566,"=IF(C92="""","""",C91/C92)",,,,
0.2281774,30.80842,18.41244,"=IF(C93="""","""",C92/C93)",,,,
0.2308306,31.15374,18.60883,"=IF(C94="""","""",C93/C94)",,,,
0.2334838,31.49878,18.80482,"=IF(C95="""","""",C94/C95)",,,,
0.236137,31.84353,19.00043,"=IF(C96="""","""",C95/C96)",,,,
0.2387903,32.18801,19.19564,"=IF(C97="""","""",C96/C97)",,,,
0.2414435,32.53221,19.39046,"=IF(C98="""","""",C97/C98)",,,,
0.2440967,32.87613,19.5849,"=IF(C99="""","""",C98/C99)",,,,
0.2467499,33.21978,19.77894,"=IF(C100="""","""",C99/C100)",,,,
0.2494032,33.56314,19.9726,"=IF(C101="""","""",C100/C101)",,,,
0.2520564,33.90623,20.16587,"=IF(C102="""","""",C101/C102)",,,,
0.2547096,34.24905,20.35875,"=IF(C103="""","""",C102/C103)",,,,
0.2573628,34.59159,20.55124,"=IF(C104="""","""",C103/C104)",,,,
0.2600161,34.93385,20.74334,"=IF(C105="""","""",C104/C105)",,,,
0.2626693,35.27584,20.93506,"=IF(C106="""","""",C105/C106)",,,,
0.2653225,35.61756,21.1264,"=IF(C107="""","""",C106/C107)",,,,
0.2679757,35.959,21.31734,"=IF(C108="""","""",C107/C108)",,,,
0.270629,36.30017,21.50791,"=IF(C109="""","""",C108/C109)",,,,
0.2732822,36.64106,21.69809,"=IF(C110="""","""",C109/C110)",,,,
0.2759354,36.98169,21.88788,"=IF(C111="""","""",C110/C111)",,,,
0.2785886,37.32204,22.07729,"=IF(C112="""","""",C111/C112)",,,,
0.2812419,37.66213,22.26632,"=IF(C113="""","""",C112/C113)",,,,
0.2838951,38.00194,22.45497,"=IF(C114="""","""",C113/C114)",,,,
0.2865483,38.34148,22.64323,"=IF(C115="""","""",C114/C115)",,,,
0.2892015,38.68075,22.83111,"=IF(C116="""","""",C115/C116)",,,,
0.2918548,39.01976,23.01861,"=IF(C117="""","""",C116/C117)",,,,
0.294508,39.3585,23.20573,"=IF(C118="""","""",C117/C118)",,,,
0.2971612,39.69696,23.39247,"=IF(C119="""","""",C118/C119)",,,,
0.2998144,40.03516,23.57883,"=IF(C120="""","""",C119/C120)",,,,
0.3024677,40.3731,23.76481,"=IF(C121="""","""",C120/C121)",,,,
0.3051209,40.71077,23.95042,"=IF(C122="""","""",C121/C122)",,,,
0.3077741,41.04817,24.13564,"=IF(C123="""","""",C122/C123)",,,,
0.3104273,41.38531,24.32048,"=IF(C124="""","""",C123/C124)",,,,
0.3130806,41.72218,24.50495,"=IF(C125="""","""",C124/C125)",,,,
0.3157338,42.05879,24.68904,"=IF(C126="""","""",C125/C126)",,,,
0.318387,42.39513,24.87276,"=IF(C127="""","""",C126/C127)",,,,
0.3210403,42.73121,25.0561,"=IF(C128="""","""",C127/C128)",,,,
0.3236935,43.06703,25.23906,"=IF(C129="""","""",C128/C129)",,,,
0.3263467,43.40258,25.42165,"=IF(C130="""","""",C129/C130)",,,,
0.3289999,43.73788,25.60386,"=IF(C131="""","""",C130/C131)",,,,
0.3316532,44.07291,25.7857,"=IF(C132="""","""",C131/C132)",,,,
0.3343064,44.40768,25.96716,"=IF(C133="""","""",C132/C133)",,,,
0.3369596,44.74219,26.14825,"=IF(C134="""","""",C133/C134)",,,,
0.3396128,45.07644,26.32897,"=IF(C135="""","""",C134/C135)",,,,
0.3422661,45.41043,26.50931,"=IF(C136="""","""",C135/C136)",,,,
0.3449193,45.74417,26.68929,"=IF(C137="""","""",C136/C137)",,,,
0.3475725,46.07764,26.86889,"=IF(C138="""","""",C137/C138)",,,,
0.3502257,46.41086,27.04812,"=IF(C139="""","""",C138/C139)",,,,
0.352879,46.74381,27.22698,"=IF(C140="""","""",C139/C140)",,,,
0.3555322,47.07652,27.40547,"=IF(C141="""","""",C140/C141)",,,,
0.3581854,47.40896,27.58358,"=IF(C142="""","""",C141/C142)",,,,
0.3608386,47.74115,27.76133,"=IF(C143="""","""",C142/C143)",,,,
0.3634919,48.07308,27.93871,"=IF(C144="""","""",C143/C144)",,,,
0.3661451,48.40476,28.11572,"=IF(C145="""","""",C144/C145)",,,,
0.3687983,48.73618,28.29237,"=IF(C146="""","""",C145/C146)",,,,
0.3714515,49.06735,28.46864,"=IF(C147="""","""",C146/C147)",,,,
0.3741048,49.39826,28.64455,"=IF(C148="""","""",C147/C148)",,,,
0.376758,49.72893,28.82009,"=IF(C149="""","""",C148/C149)",,,,
0.3794112,50.05933,28.99527,"=IF(C150="""","""",C149/C150)",,,,
0.3820644,50.38949,29.17007,"=IF(C151="""","""",C150/C151)",,,,
0.3847177,50.71939,29.34452,"=IF(C152="""","""",C151/C152)",,,,
0.3873709,51.04905,29.51859,"=IF(C153="""","""",C152/C153)",,,,
0.3900241,51.37845,29.69231,"=IF(C154="""","""",C153/C154)",,,,
0.3926773,51.7076,29.86565,"=IF(C155="""","""",C154/C155)",,,,
0.3953306,52.0365,30.03864,"=IF(C156="""","""",C155/C156)",,,,
0.3979838,52.36515,30.21126,"=IF(C157="""","""",C156/C157)",,,,
0.400637,52.69355,30.38351,"=IF(C158="""","""",C157/C158)",,,,
0.4032902,53.0217,30.55541,"=IF(C159="""","""",C158/C159)",,,,
0.4059435,53.34961,30.72694,"=IF(C160="""","""",C159/C160)",,,,
0.4085967,53.67727,30.89811,"=IF(C161="""","""",C160/C161)",,,,
0.4112499,54.00468,31.06892,"=IF(C162="""","""",C161/C162)",,,,
0.4139031,54.33184,31.23936,"=IF(C163="""","""",C162/C163)",,,,
0.4165564,54.65875,31.40945,"=IF(C164="""","""",C163/C164)",,,,
0.4192096,54.98542,31.57918,"=IF(C165="""","""",C164/C165)",,,,
0.4218628,55.31185,31.74854,"=IF(C166="""","""",C165/C166)",,,,
0.424516,55.63802,31.91755,"=IF(C167="""","""",C166/C167)",,,,
0.4271693,55.96396,32.0862,"=IF(C168="""","""",C167/C168)",,,,
0.4298225,56.28965,32.25448,"=IF(C169="""","""",C168/C169)",,,,
0.4324757,56.61509,32.42241,"=IF(C170="""","""",C169/C170)",,,,
0.4351289,56.9403,32.58999,"=IF(C171="""","""",C170/C171)",,,,
0.4377822,57.26525,32.7572,"=IF(C172="""","""",C171/C172)",,,,
0.4404354,57.58997,32.92406,"=IF(C173="""","""",C172/C173)",,,,
0.4430886,57.91445,33.09056,"=IF(C174="""","""",C173/C174)",,,,
0.4457418,58.23868,33.2567,"=IF(C175="""","""",C174/C175)",,,,
0.4483951,58.56267,33.42249,"=IF(C176="""","""",C175/C176)",,,,
0.4510483,58.88642,33.58792,"=IF(C177="""","""",C176/C177)",,,,
0.4537015,59.20993,33.753,"=IF(C178="""","""",C177/C178)",,,,
0.4563547,59.5332,33.91772,"=IF(C179="""","""",C178/C179)",,,,
0.459008,59.85623,34.08209,"=IF(C180="""","""",C179/C180)",,,,
0.4616612,60.17902,34.24611,"=IF(C181="""","""",C180/C181)",,,,
0.4643144,60.50157,34.40977,"=IF(C182="""","""",C181/C182)",,,,
0.4669676,60.82389,34.57307,"=IF(C183="""","""",C182/C183)",,,,
0.4696209,61.14596,34.73603,"=IF(C184="""","""",C183/C184)",,,,
0.4722741,61.4678,34.89863,"=IF(C185="""","""",C184/C185)",,,,
0.4749273,61.7894,35.06088,"=IF(C186="""","""",C185/C186)",,,,
0.4775805,62.11077,35.22278,"=IF(C187="""","""",C186/C187)",,,,
0.4802338,62.43189,35.38433,"=IF(C188="""","""",C187/C188)",,,,
0.482887,62.75279,35.54552,"=IF(C189="""","""",C188/C189)",,,,
0.4855402,63.07344,35.70637,"=IF(C190="""","""",C189/C190)",,,,
0.4881934,63.39387,35.86686,"=IF(C191="""","""",C190/C191)",,,,
0.4908467,63.71405,36.02701,"=IF(C192="""","""",C191/C192)",,,,
0.4934999,64.03401,36.18681,"=IF(C193="""","""",C192/C193)",,,,
0.4961531,64.35373,36.34625,"=IF(C194="""","""",C193/C194)",,,,
0.4988063,64.67321,36.50535,"=IF(C195="""","""",C194/C195)",,,,
0.5014596,64.99247,36.6641,"=IF(C196="""","""",C195/C196)",,,,
0.5041128,65.31149,36.8225,"=IF(C197="""","""",C196/C197)",,,,
0.506766,65.63027,36.98056,"=IF(C198="""","""",C197/C198)",,,,
0.5094192,65.94883,37.13826,"=IF(C199="""","""",C198/C199)",,,,
0.5120725,66.26716,37.29563,"=IF(C200="""","""",C199/C200)",,,,
0.5147257,66.58525,37.45264,"=IF(C201="""","""",C200/C201)",,,,
0.5173789,66.90312,37.60931,"=IF(C202="""","""",C201/C202)",,,,
0.5200321,67.22075,37.76563,"=IF(C203="""","""",C202/C203)",,,,
0.5226854,67.53815,37.92161,"=IF(C204="""","""",C203/C204)",,,,
0.5253386,67.85533,38.07724,"=IF(C205="""","""",C204/C205)",,,,
0.5279918,68.17227,38.23253,"=IF(C206="""","""",C205/C206)",,,,
0.530645,68.48899,38.38747,"=IF(C207="""","""",C206/C207)",,,,
0.5332983,68.80548,38.54207,"=IF(C208="""","""",C207/C208)",,,,
0.5359515,69.12174,38.69632,"=IF(C209="""","""",C208/C209)",,,,
0.5386047,69.43778,38.85023,"=IF(C210="""","""",C209/C210)",,,,
0.5412579,69.75358,39.0038,"=IF(C211="""","""",C210/C211)",,,,
0.5439112,70.06916,39.15703,"=IF(C212="""","""",C211/C212)",,,,
0.5465644,70.38452,39.30992,"=IF(C213="""","""",C212/C213)",,,,
0.5492176,70.69965,39.46246,"=IF(C214="""","""",C213/C214)",,,,
0.5518708,71.01455,39.61466,"=IF(C215="""","""",C214/C215)",,,,
0.5545241,71.32923,39.76652,"=IF(C216="""","""",C215/C216)",,,,
0.5571773,71.64368,39.91804,"=IF(C217="""","""",C216/C217)",,,,
0.5598305,71.95791,40.06922,"=IF(C218="""","""",C217/C218)",,,,
0.5624837,72.27192,40.22006,"=IF(C219="""","""",C218/C219)",,,,
0.565137,72.5857,40.37056,"=IF(C220="""","""",C219/C220)",,,,
0.5677902,72.89926,40.52072,"=IF(C221="""","""",C220/C221)",,,,
0.5704434,73.2126,40.67054,"=IF(C222="""","""",C221/C222)",,,,
0.5730966,73.52571,40.82003,"=IF(C223="""","""",C222/C223)",,,,
0.5757499,73.8386,40.96917,"=IF(C224="""","""",C223/C224)",,,,
0.5784031,74.15127,41.11798,"=IF(C225="""","""",C224/C225)",,,,
0.5810563,74.46372,41.26645,"=IF(C226="""","""",C225/C226)",,,,
0.5837095,74.77595,41.41458,"=IF(C227="""","""",C226/C227)",,,,
0.5863628,75.08796,41.56237,"=IF(C228="""","""",C227/C228)",,,,
0.589016,75.39975,41.70983,"=IF(C229="""","""",C228/C229)",,,,
0.5916692,75.71131,41.85695,"=IF(C230="""","""",C229/C230)",,,,
0.5943224,76.02266,42.00374,"=IF(C231="""","""",C230/C231)",,,,
0.5969757,76.33379,42.15019,"=IF(C232="""","""",C231/C232)",,,,
0.5996289,76.64471,42.29631,"=IF(C233="""","""",C232/C233)",,,,
0.6022821,76.9554,42.44209,"=IF(C234="""","""",C233/C234)",,,,
0.6049353,77.26587,42.58753,"=IF(C235="""","""",C234/C235)",,,,
0.6075886,77.57613,42.73265,"=IF(C236="""","""",C235/C236)",,,,
0.6102418,77.88617,42.87742,"=IF(C237="""","""",C236/C237)",,,,
0.612895,78.196,43.02187,"=IF(C238="""","""",C237/C238)",,,,
0.6155482,78.5056,43.16598,"=IF(C239="""","""",C238/C239)",,,,
0.6182015,78.815,43.30976,"=IF(C240="""","""",C239/C240)",,,,
0.6208547,79.12417,43.45321,"=IF(C241="""","""",C240/C241)",,,,
0.6235079,79.43313,43.59632,"=IF(C242="""","""",C241/C242)",,,,
0.6261611,79.74188,43.7391,"=IF(C243="""","""",C242/C243)",,,,
0.6288144,80.05041,43.88155,"=IF(C244="""","""",C243/C244)",,,,
0.6314676,80.35873,44.02367,"=IF(C245="""","""",C244/C245)",,,,
0.6341208,80.66683,44.16546,"=IF(C246="""","""",C245/C246)",,,,
0.636774,80.97472,44.30692,"=IF(C247="""","""",C246/C247)",,,,
0.6394273,81.2824,44.44805,"=IF(C248="""","""",C247/C248)",,,,
0.6420805,81.58986,44.58885,"=IF(C249="""","""",C248/C249)",,,,
0.6447337,81.89711,44.72931,"=IF(C250="""","""",C249/C250)",,,,
0.647387,82.20415,44.86945,"=IF(C251="""","""",C250/C251)",,,,
0.6500402,82.51098,45.00926,"=IF(C252="""","""",C251/C252)",,,,
0.6526934,82.8176,45.14874,"=IF(C253="""","""",C252/C253)",,,,
0.6553466,83.124,45.2879,"=IF(C254="""","""",C253/C254)",,,,
0.6579999,83.4302,45.42672,"=IF(C255="""","""",C254/C255)",,,,
